01_20140102_01_01,3.0
01_20140102_01_02,4.0
01_20140102_01_03,5.0
01_20140102_01_04,2.0
01_20140102_01_05,6.0
01_20140102_01_06,1.0
01_20140102_02_01,
01_20140102_02_02,1.0
01_20140102_02_03,2.0
01_20140102_02_04,3.0
01_20140102_02_05,4.0
01_20140102_02_06,5.0
01_20140102_03_01,1.0
01_20140102_03_02,3.0
01_20140102_03_03,5.0
01_20140102_03_04,4.0
01_20140102_03_05,6.0
01_20140102_03_06,2.0
01_20140102_04_01,3.0
01_20140102_04_02,2.0
01_20140102_04_03,1.0
01_20140102_04_04,6.0
01_20140102_04_05,5.0
01_20140102_04_06,4.0
01_20140102_05_01,1.0
01_20140102_05_02,3.0
01_20140102_05_03,5.0
01_20140102_05_04,2.0
01_20140102_05_05,4.0
01_20140102_05_06,6.0
01_20140102_06_01,1.0
01_20140102_06_02,4.0
01_20140102_06_03,3.0
01_20140102_06_04,2.0
01_20140102_06_05,5.0
01_20140102_06_06,
01_20140102_07_01,1.0
01_20140102_07_02,4.0
01_20140102_07_03,5.0
01_20140102_07_04,3.0
01_20140102_07_05,2.0
01_20140102_07_06,6.0
01_20140102_08_01,2.0
01_20140102_08_02,3.0
01_20140102_08_03,1.0
01_20140102_08_04,6.0
01_20140102_08_05,4.0
01_20140102_08_06,5.0
01_20140102_09_01,2.0
01_20140102_09_02,3.0
01_20140102_09_03,1.0
01_20140102_09_04,5.0
01_20140102_09_05,6.0
01_20140102_09_06,4.0
01_20140102_10_01,1.0
01_20140102_10_02,3.0
01_20140102_10_03,4.0
01_20140102_10_04,6.0
01_20140102_10_05,2.0
01_20140102_10_06,5.0
01_20140102_11_01,3.0
01_20140102_11_02,2.0
01_20140102_11_03,1.0
01_20140102_11_04,4.0
01_20140102_11_05,6.0
01_20140102_11_06,5.0
01_20140102_12_01,1.0
01_20140102_12_02,3.0
01_20140102_12_03,2.0
01_20140102_12_04,4.0
01_20140102_12_05,6.0
01_20140102_12_06,5.0
01_20140103_01_01,4.0
01_20140103_01_02,6.0
01_20140103_01_03,2.0
01_20140103_01_04,1.0
01_20140103_01_05,3.0
01_20140103_01_06,5.0
01_20140103_02_01,6.0
01_20140103_02_02,5.0
01_20140103_02_03,4.0
01_20140103_02_04,1.0
01_20140103_02_05,2.0
01_20140103_02_06,3.0
01_20140103_03_01,4.0
01_20140103_03_02,2.0
01_20140103_03_03,6.0
01_20140103_03_04,1.0
01_20140103_03_05,5.0
01_20140103_03_06,3.0
01_20140103_04_01,5.0
01_20140103_04_02,1.0
01_20140103_04_03,2.0
01_20140103_04_04,6.0
01_20140103_04_05,3.0
01_20140103_04_06,4.0
01_20140103_05_01,3.0
01_20140103_05_02,6.0
01_20140103_05_03,1.0
01_20140103_05_04,2.0
01_20140103_05_05,5.0
01_20140103_05_06,4.0
01_20140103_06_01,2.0
01_20140103_06_02,3.0
01_20140103_06_03,6.0
01_20140103_06_04,1.0
01_20140103_06_05,4.0
01_20140103_06_06,5.0
01_20140103_07_01,1.0
01_20140103_07_02,5.0
01_20140103_07_03,3.0
01_20140103_07_04,4.0
01_20140103_07_05,2.0
01_20140103_07_06,
01_20140103_08_01,4.0
01_20140103_08_02,2.0
01_20140103_08_03,6.0
01_20140103_08_04,3.0
01_20140103_08_05,5.0
01_20140103_08_06,1.0
01_20140103_09_01,1.0
01_20140103_09_02,2.0
01_20140103_09_03,3.0
01_20140103_09_04,6.0
01_20140103_09_05,5.0
01_20140103_09_06,4.0
01_20140103_10_01,1.0
01_20140103_10_02,2.0
01_20140103_10_03,4.0
01_20140103_10_04,6.0
01_20140103_10_05,5.0
01_20140103_10_06,3.0
01_20140103_11_01,1.0
01_20140103_11_02,2.0
01_20140103_11_03,3.0
01_20140103_11_04,4.0
01_20140103_11_05,5.0
01_20140103_11_06,
01_20140103_12_01,4.0
01_20140103_12_02,3.0
01_20140103_12_03,1.0
01_20140103_12_04,6.0
01_20140103_12_05,2.0
01_20140103_12_06,5.0
01_20140104_01_01,3.0
01_20140104_01_02,5.0
01_20140104_01_03,4.0
01_20140104_01_04,1.0
01_20140104_01_05,2.0
01_20140104_01_06,6.0
01_20140104_02_01,2.0
01_20140104_02_02,3.0
01_20140104_02_03,4.0
01_20140104_02_04,5.0
01_20140104_02_05,1.0
01_20140104_02_06,6.0
01_20140104_03_01,1.0
01_20140104_03_02,3.0
01_20140104_03_03,2.0
